serialId|bookNum|shortName|name|bookCategory|authorId|publisher|lanId|edition|volume|pages|price|remarks|status
BK192|MPWB2|MPWB2|MALAYALA PADAVALI WORK BOOK II|{ "$ref" : "bookCategory", "$id" : 49}|50|{ "$ref" : "publisher", "$id" : 57}|46|1|1|0|0||1
BK193|MPWB3|MPWB3|MALAYALA PADAVALI WORK BOOK III|{ "$ref" : "bookCategory", "$id" : 49}|50|{ "$ref" : "publisher", "$id" : 57}|46|1|1|0|0||1
BK194|MPWB4|MPWB4|MALAYALA PADAVALI WORK BOOK IV|{ "$ref" : "bookCategory", "$id" : 49}|50|{ "$ref" : "publisher", "$id" : 57}|46|1|1|0|0||1
BK460|MAP0|MAP0|MALAYALAM AKSHARA PARICHAYAM 0|{ "$ref" : "bookCategory", "$id" : 51}|44|{ "$ref" : "publisher", "$id" : 45}|46|1|1|0|0||1
BK371|MEG9|MEG9|MAP EXPERT GEOGRAPHY IX|{ "$ref" : "bookCategory", "$id" : 51}|61|{ "$ref" : "publisher", "$id" : 55}|46|1|1|0|0||1
BK372|MEH9|MEH9|MAP EXPERT HISTORY IX|{ "$ref" : "bookCategory", "$id" : 51}|61|{ "$ref" : "publisher", "$id" : 55}|46|1|1|0|0||1
BK506|ME6|ME6|MAP EXPERT VI|{ "$ref" : "bookCategory", "$id" : 51}|61|{ "$ref" : "publisher", "$id" : 55}|46|1|1|0|0||1
BK507|ME7|ME7|MAP EXPERT VII|{ "$ref" : "bookCategory", "$id" : 51}|61|{ "$ref" : "publisher", "$id" : 55}|46|1|1|0|0||1
BK508|ME8|ME8|MAP EXPERT VIII|{ "$ref" : "bookCategory", "$id" : 51}|61|{ "$ref" : "publisher", "$id" : 55}|46|1|1|0|0||1
BK213|MTEE|MTEE|MATHA TALENT EXCELLENT EXAMINATION|{ "$ref" : "bookCategory", "$id" : 49}|44|{ "$ref" : "publisher", "$id" : 60}|46|1|1|0|0||1
BK325|MTEEL|MTEEL|MATHA TALENT EXCELLENT EXAMINATION LKG|{ "$ref" : "bookCategory", "$id" : 49}|50|{ "$ref" : "publisher", "$id" : 60}|46|1|1|0|0||1
BK326|MTEEU|MTEEU|MATHA TALENT EXCELLENT EXAMINATION UKG|{ "$ref" : "bookCategory", "$id" : 49}|50|{ "$ref" : "publisher", "$id" : 60}|46|1|1|0|0||1
BK94|MTPP|MTPP|MATHEMATICS TIMES PRE-PRIMER|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 48}|46|1|1|0|0||1
BK224|MLL|MLL|MATHRU LIPI LKG|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 48}|46|1|1|0|0||1
BK225|MLU|MLU|MATHRU LIPI UKG|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 48}|46|1|1|0|0||1
BK222|ML|ML|MATHRU MALAYALAM LKG|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 48}|46|1|1|0|0||1
BK223|MU|MU|MATHRU MALAYALAM UKG|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 48}|46|1|1|0|0||1
BK294|NIN1|MIM1|MATHS IN MINUTES I|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 55}|46|1|1|0|0||1
BK320|MIM1|MIM1|MATHS IN MINUTES I|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 55}|46|1|1|0|0||1
BK295|MIM2|MIM2|MATHS IN MINUTES II|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 55}|46|1|1|0|0||1
BK296|MIM3|MIM3|MATHS IN MINUTES III|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 55}|46|1|1|0|0||1
BK297|MIM4|MIM4|MATHS IN MINUTES IV|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 55}|46|1|1|0|0||1
BK298|MIM5|MIM5|MATHS IN MINUTES V|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 55}|46|1|1|0|0||1
BK149|MML|MML|MAZHAVILLU MALAYALA PADAVALI LKG|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 56}|46|1|1|0|0||1
BK150|MMU|MMU|MAZHAVILLU MALAYALA PADAVALI UKG|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 56}|46|1|1|0|0||1
BK321|MAB|MAB|MY ALPHABET BOOK|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 48}|46|1|1|0|0||1
BK366|MBBOP&L||MY BIG BOOK OF PLAY AND LEARN|{ "$ref" : "bookCategory", "$id" : 51}|61|{ "$ref" : "publisher", "$id" : 55}|46|1|1|0|0||1
BK495|MFBOABC|MFBOABC|MY FIRST BOOK OF ABC|{ "$ref" : "bookCategory", "$id" : 51}|61|{ "$ref" : "publisher", "$id" : 55}|46|1|1|0|0||1
BK365|MFB1-100||MY FIRST NUMBER BOOK 1-100|{ "$ref" : "bookCategory", "$id" : 43}|44|{ "$ref" : "publisher", "$id" : 55}|46|1|1|0|0||1
BK373|MFNB100|MFNB100|MY FIRST NUMBER BOOK 1-100|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 55}|46|1|1|0|0||1
BK362|MFPD||MY FIRST PICTURE DICTIONARY|{ "$ref" : "bookCategory", "$id" : 43}|44|{ "$ref" : "publisher", "$id" : 55}|46|1|1|0|0||1
BK475|MFSA|MFSA|MY FIRST SCHOOL ACTIVITY|{ "$ref" : "bookCategory", "$id" : 51}|44|{ "$ref" : "publisher", "$id" : 55}|46|1|1|0|0||1
BK172|MLABC|MLABC|MY LITTLE ABC|{ "$ref" : "bookCategory", "$id" : 51}|47|{ "$ref" : "publisher", "$id" : 48}|46|1|1|0|0||1
BK383|MLW1|MLW1|MY LITTLE WORLD I|{ "$ref" : "bookCategory", "$id" : 51}|47|{ "$ref" : "publisher", "$id" : 48}|46|1|1|0|0||1
BK517|MLW2|MLW2|MY LITTLE WORLD II|{ "$ref" : "bookCategory", "$id" : 51}|47|{ "$ref" : "publisher", "$id" : 48}|46|1|1|0|0||1
BK328|1123|MLW1|MY LITTLE WORLD PART I|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 48}|46|1|1|0|0||1
BK329|1124|MLW2|MY LITTLE WORLD PART II|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 48}|46|1|1|0|0||1
BK515|MLWPD1|MLWPD1|MY LITTLE WORLD PICTURE DICTIONERY I|{ "$ref" : "bookCategory", "$id" : 51}|47|{ "$ref" : "publisher", "$id" : 48}|46|2|1|0|0||1
BK516|MLWPD2|MLWPD2|MY LITTLE WORLD PICTURE DICTIONERY II|{ "$ref" : "bookCategory", "$id" : 51}|47|{ "$ref" : "publisher", "$id" : 48}|46|1|1|0|0||1
BK299|MNCM6|MNCM6|MY NEW COMPOSITE MATHEMATICS VI|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 55}|46|1|1|0|0||1
BK300|MNCM7|MNCM7|MY NEW COMPOSITE MATHEMATICS VII|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 55}|46|1|1|0|0||1
BK476|MSSA|MSSA|MY SECOND SCHOOL ACTIVITY|{ "$ref" : "bookCategory", "$id" : 51}|44|{ "$ref" : "publisher", "$id" : 55}|46|1|1|0|0||1
BK477|MTSA|MTSA|MY THIRD SCHOOL ACTIVITY|{ "$ref" : "bookCategory", "$id" : 51}|44|{ "$ref" : "publisher", "$id" : 55}|46|1|1|0|0||1
BK368|MWW1||MY WONDERFUL WORLD I|{ "$ref" : "bookCategory", "$id" : 51}|61|{ "$ref" : "publisher", "$id" : 55}|46|1|1|0|0||1
